# Esri object names mapped to their codes. Generated by scripts/sync-esri-aliases.py from
# Esri/projection-engine-db-doc (Apache License 2.0), commit 06dc50b556a2fa49224453ce8cbcf1833b3b64f7 (2026-05-29); do not edit by hand.
# geodetic_datum: 956, geodetic_crs: 1241, projected_crs: 6848, ellipsoid: 317 (collapsed from 10564 rows)
# type	esri_name	code	base_crs	deprecated
geodetic_datum	1_Ceres_2015	ESRI:106972	ESRI:104972	0
geodetic_datum	4_Vesta_2015	ESRI:106973	ESRI:104973	0
geodetic_datum	AbInvA96_2020_Intermediate_Reference_Frame	EPSG:1273	EPSG:9384	0
geodetic_datum	Aegaeon_2015	ESRI:106867	ESRI:104878	0
geodetic_datum	Anthe_2015	ESRI:106868	ESRI:104879	0
geodetic_datum	Asse_geodetic_datum_2025	EPSG:1413	EPSG:10898	0
geodetic_datum	Atlas_2015	ESRI:106976	ESRI:104976	0
geodetic_datum	Australian_Terrestrial_Reference_Frame_2014	EPSG:1291	EPSG:9309	0
geodetic_datum	Batavia_(Jakarta)	EPSG:6813		0
geodetic_datum	BES2020_Saba	EPSG:1380	EPSG:10639	0
geodetic_datum	BES2020_Sint_Eustatius	EPSG:1394	EPSG:10739	0
geodetic_datum	BH_ETRS89	EPSG:1358	EPSG:10328	0
geodetic_datum	BNGRS02	ESRI:106024	ESRI:104033	0
geodetic_datum	Bogota_1975_(Bogota)	EPSG:6802		0
geodetic_datum	Bonaire	EPSG:1396	EPSG:10758	0
geodetic_datum	Bonaire_2004	EPSG:1397	EPSG:10762	0
geodetic_datum	Brenner_Base_Tunnel_2000	EPSG:1367	EPSG:10475	0
geodetic_datum	BTRS	ESRI:106023	ESRI:104032	0
geodetic_datum	Bulgaria_Geodetic_System_2005	EPSG:1167	EPSG:7798	0
geodetic_datum	California_Spatial_Reference_Network_epoch_2025.0_(ITRF2020)	EPSG:1418	EPSG:10952	0
geodetic_datum	California_Spatial_Reference_Network_epoch_2025.0_(NAD83_2011)	EPSG:1414	EPSG:10910	0
geodetic_datum	California_SRS_Epoch_2017.50_(NAD83)	ESRI:106012	ESRI:104024	0
geodetic_datum	Callisto_2015	ESRI:106862	ESRI:104873	0
geodetic_datum	Calypso_2015	ESRI:106977	ESRI:104977	0
geodetic_datum	Camacupa_2015	EPSG:1217	EPSG:8694	0
geodetic_datum	Carthage_(Paris)	EPSG:6816		0
geodetic_datum	CH1903_(Bern)	EPSG:6801		0
geodetic_datum	Charon_2015	ESRI:106899	ESRI:104999	0
geodetic_datum	CNH22_Intermediate_Reference_Frame	EPSG:1336	EPSG:10191	0
geodetic_datum	Copenhagen_Commune_Intermediate_Datum	EPSG:1349	EPSG:10265	0
geodetic_datum	COV23_Intermediate_Reference_Frame	EPSG:1366	EPSG:10468	0
geodetic_datum	CR-SIRGAS	EPSG:1225	EPSG:8907	0
geodetic_datum	CR-SIRGAS_epoch_2019.24	EPSG:1428	EPSG:11043	0
geodetic_datum	Curacao_1951	ESRI:106000	ESRI:37000	0
geodetic_datum	CWS13_Intermediate_Reference_Frame	EPSG:1338	EPSG:10196	0
geodetic_datum	D_Abidjan_1987	EPSG:6143	EPSG:4143	0
geodetic_datum	D_Accra	EPSG:6168	EPSG:4168	0
geodetic_datum	D_Aden_1925	EPSG:1135	EPSG:6881	0
geodetic_datum	D_Adindan	EPSG:6201	EPSG:4201	0
geodetic_datum	D_Adrastea_2000	ESRI:106909	ESRI:104909	0
geodetic_datum	D_Afgooye	EPSG:6205	EPSG:4205	0
geodetic_datum	D_Agadez	EPSG:6206	EPSG:4206	0
geodetic_datum	D_Ain_el_Abd_1970	EPSG:6204	EPSG:4204	0
geodetic_datum	D_Airy_1830	EPSG:6001		1
geodetic_datum	D_Airy_Modified	EPSG:6002		1
geodetic_datum	D_Alaskan_Islands	ESRI:106260	ESRI:37260	0
geodetic_datum	D_Albanian_1987	EPSG:6191	EPSG:4191	0
geodetic_datum	D_Amalthea_2000	ESRI:106910	ESRI:104910	0
geodetic_datum	D_American_Samoa_1962	EPSG:6169	EPSG:4169	0
geodetic_datum	D_Amersfoort	EPSG:6289	EPSG:4289	0
geodetic_datum	D_Ammassalik_1958	EPSG:6196	EPSG:4196	0
geodetic_datum	D_Ananke_2000	ESRI:106911	ESRI:104911	0
geodetic_datum	D_Anguilla_1957	EPSG:6600	EPSG:4600	0
geodetic_datum	D_Anna_1_1965	EPSG:6708	EPSG:4708	0
geodetic_datum	D_Antigua_1943	EPSG:6601	EPSG:4601	0
geodetic_datum	D_Aratu	EPSG:6208	EPSG:4208	0
geodetic_datum	D_Arc_1950	EPSG:6209	EPSG:4209	0
geodetic_datum	D_Arc_1960	EPSG:6210	EPSG:4210	0
geodetic_datum	D_Ariel_2000	ESRI:106945	ESRI:104945	0
geodetic_datum	D_Ascension_Island_1958	EPSG:6712	EPSG:4712	0
geodetic_datum	D_Astro_1952	EPSG:6711	EPSG:4711	0
geodetic_datum	D_ATF	EPSG:6901	EPSG:4901	0
geodetic_datum	D_Atlas_2000	ESRI:106926	ESRI:104926	0
geodetic_datum	D_ATS_1977	EPSG:6122	EPSG:4122	0
geodetic_datum	D_Australian	EPSG:6003		1
geodetic_datum	D_Australian_1966	EPSG:6202	EPSG:4202	0
geodetic_datum	D_Australian_1984	EPSG:6203	EPSG:4203	0
geodetic_datum	D_Australian_Antarctic_1998	EPSG:6176	EPSG:4176	0
geodetic_datum	D_Ayabelle	EPSG:6713	EPSG:4713	0
geodetic_datum	D_Azores_Central_Islands_1948	EPSG:6183	EPSG:4183	0
geodetic_datum	D_Azores_Central_Islands_1995	EPSG:6665	EPSG:4665	0
geodetic_datum	D_Azores_Occidental_Islands_1939	EPSG:6182	EPSG:4182	0
geodetic_datum	D_Azores_Oriental_Islands_1940	EPSG:6184	EPSG:4184	0
geodetic_datum	D_Azores_Oriental_Islands_1995	EPSG:6664	EPSG:4664	0
geodetic_datum	D_Bab_South	ESRI:106269	ESRI:104112	0
geodetic_datum	D_Barbados_1938	EPSG:6212	EPSG:4212	0
geodetic_datum	D_Batavia	EPSG:6211	EPSG:4211	0
geodetic_datum	D_Beacon_E_1945	EPSG:6709	EPSG:4709	0
geodetic_datum	D_Beduaram	EPSG:6213	EPSG:4213	0
geodetic_datum	D_Beijing_1954	EPSG:6214	EPSG:4214	0
geodetic_datum	D_Bekaa_Valley_1920	EPSG:1137	EPSG:6882	0
geodetic_datum	D_Belge_1950	EPSG:6215	EPSG:4215	0
geodetic_datum	D_Belge_1972	EPSG:6313	EPSG:4313	0
geodetic_datum	D_Belinda_2000	ESRI:106946	ESRI:104946	0
geodetic_datum	D_Bellevue_IGN	EPSG:6714	EPSG:4714	0
geodetic_datum	D_Bermuda_1957	EPSG:6216	EPSG:4216	0
geodetic_datum	D_Bermuda_2000	EPSG:6762	EPSG:4762	0
geodetic_datum	D_Bern_1898	ESRI:6217	EPSG:4801	0
geodetic_datum	D_Bern_1938	EPSG:6306	EPSG:4306	0
geodetic_datum	D_Bessel_1841	EPSG:6004		1
geodetic_datum	D_Bessel_Modified	EPSG:6005		1
geodetic_datum	D_Bessel_Namibia	EPSG:6006		1
geodetic_datum	D_Bhutan_National_Geodetic_Datum	EPSG:1058	EPSG:5264	0
geodetic_datum	D_Bianca_2000	ESRI:106947	ESRI:104947	0
geodetic_datum	D_Bioko	EPSG:1136	EPSG:6883	0
geodetic_datum	D_Bissau	EPSG:6165	EPSG:4165	0
geodetic_datum	D_Bogota	EPSG:6218	EPSG:4218	0
geodetic_datum	D_Bukit_Rimpah	EPSG:6219	EPSG:4219	0
geodetic_datum	D_Cadastre_1997	EPSG:1037	EPSG:4475	0
geodetic_datum	D_Callisto_2000	ESRI:106912	ESRI:104912	0
geodetic_datum	D_Calypso_2000	ESRI:106927	ESRI:104927	0
