# Generated by scripts/sync-proj4js-datums.mjs; do not edit.
# Source: https://github.com/proj4js/proj4js/blob/888ce3a8a5b27e03f08c062c80121225333de8f8/lib/constants/Datum.js
# Upstream commit: 888ce3a8a5b27e03f08c062c80121225333de8f8
# Canonical records: 438
# Datum-name aliases: 18
# Three-parameter records: 330
# Seven-parameter records: 107
# NAD-grid records: 1
# Null marker: \N
# Data SHA-256: 52fa7af521bc8acc1836d4ec476272d726c3cab5c9d037a2b7a1e338370c8f79
code	towgs84	ellipse	datumName	nadgrids
EPSG_10299	0,0,0	\N	\N	\N
EPSG_10305	0,0,0	\N	\N	\N
EPSG_10310	0,0,0	\N	\N	\N
EPSG_10328	0,0,0	\N	\N	\N
EPSG_10475	0,0,0	\N	\N	\N
EPSG_10639	0,0,0	\N	\N	\N
EPSG_10671	0,0,0	\N	\N	\N
EPSG_10690	0,0,0	\N	\N	\N
EPSG_10725	0,0,0	\N	\N	\N
EPSG_10739	0,0,0	\N	\N	\N
EPSG_10762	0,0,0	\N	\N	\N
EPSG_10791	0,0,0	\N	\N	\N
EPSG_10800	0,0,0	\N	\N	\N
EPSG_10875	0,0,0	\N	\N	\N
EPSG_10910	0,0,0	\N	\N	\N
EPSG_10941	0,0,0	\N	\N	\N
EPSG_10968	0,0,0	\N	\N	\N
EPSG_20046	0,0,0	\N	\N	\N
EPSG_3819	595.48,121.69,515.35,4.115,-2.9383,0.853,-3.408	\N	\N	\N
EPSG_3824	0,0,0	\N	\N	\N
EPSG_3889	0,0,0	\N	\N	\N
EPSG_3906	577.88891,165.22205,391.18289,4.9145,-0.94729,-13.05098,7.78664	\N	\N	\N
EPSG_4023	0,0,0	\N	\N	\N
EPSG_4046	0,0,0	\N	\N	\N
EPSG_4075	0,0,0	\N	\N	\N
EPSG_4081	0,0,0	\N	\N	\N
EPSG_4121	-199.87,74.79,246.62	\N	\N	\N
EPSG_4123	-96.062,-82.428,-121.753,4.801,0.345,-1.376,1.496	\N	\N	\N
EPSG_4124	419.3836,99.3335,591.3451,0.850389,1.817277,-7.862238,-0.99496	\N	\N	\N
EPSG_4127	-82.875,-57.097,-156.768,-2.158,1.524,-0.982,-0.359	\N	\N	\N
EPSG_4129	-132,-110,-335	\N	\N	\N
EPSG_4130	0,0,0	\N	\N	\N
EPSG_4131	199,931,318.9	\N	\N	\N
EPSG_4132	-241.54,-163.64,396.06	\N	\N	\N
EPSG_4133	0,0,0	\N	\N	\N
EPSG_4134	-180.624,-225.516,173.919,-0.81,-1.898,8.336,16.71006	\N	\N	\N
EPSG_4135	58,-283,-182	\N	\N	\N
EPSG_4139	11,72,-101	\N	\N	\N
EPSG_4141	23.772,17.49,17.859,-0.3132,-1.85274,1.67299,-5.4262	\N	\N	\N
EPSG_4142	-125,53,467	\N	\N	\N
EPSG_4143	-124.76,53,466.79	\N	\N	\N
EPSG_4144	214,804,268	\N	\N	\N
EPSG_4145	275.57,676.78,229.6	\N	\N	\N
EPSG_4146	295,736,257	\N	\N	\N
EPSG_4147	-17.51,-108.32,-62.39	\N	\N	\N
EPSG_4148	0,0,0	\N	\N	\N
EPSG_4149	674.374,15.056,405.346	\N	\N	\N
EPSG_4150	674.374,15.056,405.346	\N	\N	\N
EPSG_4151	0,0,0	\N	\N	\N
EPSG_4152	-0.9102,2.0141,0.5602,0.029039,0.010065,0.010101,0	\N	\N	\N
EPSG_4153	-133.63,-157.5,-158.62	\N	\N	\N
EPSG_4154	-123.02,-158.95,-168.47	\N	\N	\N
EPSG_4155	-83,37,124	\N	\N	\N
EPSG_4156	570.8,85.7,462.8,4.998,1.587,5.261,3.56	\N	\N	\N
EPSG_4158	-0.465,372.095,171.736	\N	\N	\N
EPSG_4159	-194.513,-63.978,-25.759,-3.4027,3.756,-3.352,-0.9175	\N	\N	\N
EPSG_4160	8.88,184.86,106.69	\N	\N	\N
EPSG_4161	-233.43,6.65,173.64	\N	\N	\N
EPSG_4163	0,0,0	\N	\N	\N
EPSG_4164	-76,-138,67	\N	\N	\N
EPSG_4165	-173,253,27	\N	\N	\N
EPSG_4166	0,0,0	\N	\N	\N
EPSG_4167	0,0,0	\N	\N	\N
EPSG_4168	-170,33,326	\N	\N	\N
EPSG_4169	-115,118,426	\N	\N	\N
EPSG_4170	0,0,0	\N	\N	\N
EPSG_4173	0,0,0	\N	\N	\N
EPSG_4175	-88,4,101	\N	\N	\N
EPSG_4176	0,0,0	\N	\N	\N
EPSG_4178	24.9,-126.4,-93.2,-0.063,-0.247,-0.041,1.01	\N	\N	\N
EPSG_4179	33.4,-146.6,-76.3,-0.359,-0.053,0.844,-0.84	\N	\N	\N
EPSG_4180	0,0,0	\N	\N	\N
EPSG_4182	-422.651,-172.995,84.02	\N	\N	\N
EPSG_4183	-104,167,-38	\N	\N	\N
EPSG_4184	-203,141,53	\N	\N	\N
EPSG_4188	482.5,-130.6,564.6,-1.042,-0.214,-0.631,8.15	\N	\N	\N
EPSG_4189	0,0,0	\N	\N	\N
EPSG_4190	0,0,0	\N	\N	\N
EPSG_4191	-44.183,-0.58,-38.489,2.3867,2.7072,-3.5196,-8.2703	\N	\N	\N
EPSG_4192	-206.1,-174.7,-87.7	\N	\N	\N
EPSG_4193	-70.9,-151.8,-41.4	\N	\N	\N
EPSG_4194	163.511,127.533,-159.789	\N	\N	\N
EPSG_4195	105,326,-102.5	\N	\N	\N
EPSG_4196	-45,417,-3.5	\N	\N	\N
EPSG_4200	24.82,-131.21,-82.66	\N	\N	\N
EPSG_4201	-165,-11,206	\N	\N	\N
EPSG_4202	-124,-60,154	\N	\N	\N
EPSG_4203	-117.763,-51.51,139.061,0.292,0.443,0.277,-0.191	\N	\N	\N
EPSG_4204	-85.645,-273.077,-79.708,2.289,-1.421,2.532,3.194	\N	\N	\N
EPSG_4205	-43,-163,45	\N	\N	\N
EPSG_4207	-282.1,-72.2,120,-1.529,0.145,-0.89,-4.46	\N	\N	\N
EPSG_4208	-157.84,308.54,-146.6	\N	\N	\N
EPSG_4209	-138,-105,-289	\N	\N	\N
EPSG_4210	-157,-2,-299	\N	\N	\N
EPSG_4211	-378.873,676.002,-46.255	\N	\N	\N
EPSG_4212	-267.434,173.496,181.814,-13.4704,8.7154,7.3926,14.7492	\N	\N	\N
EPSG_4213	-106,-87,188	\N	\N	\N
EPSG_4214	12.646,-155.176,-80.863	\N	\N	\N
EPSG_4216	-292.295,248.758,429.447,4.9971,2.99,6.6906,1.0289	\N	\N	\N
EPSG_4218	304.5,306.5,-318.1	\N	\N	\N
EPSG_4219	-384,664,-48	\N	\N	\N
EPSG_4220	-55.5,-348,-229.2	\N	\N	\N
EPSG_4221	-154.5,150.7,100.4	\N	\N	\N
EPSG_4222	-136,-108,-292	\N	\N	\N
EPSG_4223	-260.1,5.5,432.2	\N	\N	\N
EPSG_4224	-143.87,243.37,-33.52	\N	\N	\N
EPSG_4225	-205.57,168.77,-4.12	\N	\N	\N
EPSG_4227	-83.58,-397.54,458.78,-17.595,-2.847,4.256,3.225	\N	\N	\N
EPSG_4229	-121.8,98.1,-10.7	\N	\N	\N
EPSG_4230	-68.863,-134.888,-111.49,-0.53,-0.14,0.57,-3.4	\N	\N	\N
EPSG_4231	-83.11,-97.38,-117.22,0.005693,-0.044698,0.044285,0.1218	\N	\N	\N
EPSG_4232	-345,3,223	\N	\N	\N
EPSG_4236	-637,-549,-203	\N	\N	\N
EPSG_4237	52.684,-71.194,-13.975,-0.312,-0.1063,-0.3729,1.0191	\N	\N	\N
EPSG_4238	-1.977,-13.06,-9.993,0.364,0.254,0.689,-1.037	\N	\N	\N
EPSG_4239	217,823,299	\N	\N	\N
EPSG_4240	204.64,834.74,293.8	\N	\N	\N
EPSG_4242	-33.722,153.789,94.959,-8.581,-4.478,4.54,8.95	\N	\N	\N
EPSG_4244	-97,787,86	\N	\N	\N
EPSG_4245	-11,851,5	\N	\N	\N
EPSG_4246	-294.7,-200.1,525.5	\N	\N	\N
EPSG_4247	-273.5,110.6,-357.9	\N	\N	\N
EPSG_4248	-307.7,265.3,-363.5	\N	\N	\N
EPSG_4250	-130,29,364	\N	\N	\N
EPSG_4251	-90,40,88	\N	\N	\N
EPSG_4253	-133,-77,-51	\N	\N	\N
